[2025-03-04 13:50:48] No settings files found: D:/JsTools/config/settings.bin and D:/JsTools/config/settings_backup.bin
[2025-03-04 13:50:50] Saving 2 values; 44 bytes
[2025-03-04 13:51:50] Saving 2 values; 44 bytes
[2025-03-04 13:52:50] Saving 2 values; 44 bytes
[2025-03-04 13:53:50] Saving 2 values; 44 bytes
[2025-03-04 13:54:50] Saving 2 values; 44 bytes
[2025-03-04 13:55:50] Saving 2 values; 44 bytes
[2025-03-04 13:56:50] Saving 2 values; 44 bytes
[2025-03-04 13:57:50] Saving 2 values; 44 bytes
[2025-03-04 13:58:50] Saving 2 values; 44 bytes
[2025-03-04 13:59:50] Saving 2 values; 44 bytes
[2025-03-04 14:00:50] Saving 2 values; 44 bytes
[2025-03-04 14:01:50] Saving 2 values; 44 bytes
[2025-03-04 14:02:50] Saving 2 values; 44 bytes
[2025-03-04 14:03:50] Saving 2 values; 44 bytes
[2025-03-04 14:04:50] Saving 2 values; 44 bytes
[2025-03-04 14:05:50] Saving 2 values; 44 bytes
[2025-03-04 14:06:50] Saving 2 values; 44 bytes
[2025-03-04 14:07:50] Saving 2 values; 44 bytes
[2025-03-04 14:08:50] Saving 2 values; 44 bytes
[2025-03-04 14:09:50] Saving 2 values; 44 bytes
[2025-03-04 14:10:50] Saving 2 values; 44 bytes
[2025-03-04 14:11:50] Saving 2 values; 44 bytes
[2025-03-04 14:12:50] Saving 2 values; 44 bytes
[2025-03-04 14:13:50] Saving 2 values; 44 bytes
[2025-03-04 14:14:50] Saving 2 values; 44 bytes
[2025-03-04 14:15:50] Saving 2 values; 44 bytes
[2025-03-04 14:16:50] Saving 2 values; 44 bytes
[2025-03-04 14:17:50] Saving 2 values; 44 bytes
